uaX; uaY; uaZ; gX; gY; gZ
-0,08092103; -0,04691177; 0,1491985; 3,380071; -0,02098237; -1,157846
-0,1654092; 0,05320136; 0,2263155; 2,979498; -0,4387225; -1,752982
-0,1850601; 0,09775982; 0,3487604; 0,09155948; 0,7343833; -0,9823568
-0,1498685; 0,0767271; 0,2282989; -3,305679; 0,6790661; -1,070101
0,07456876; -0,1584621; 0,01213312; -2,886031; 0,7858856; -0,877445
0,08207904; -0,04709967; -0,006848097; -0,3265622; 0,4700053; -0,02288987
-0,06119752; 0,05598113; 0,1823721; -0,4539824; -0,9480221; -0,5283745
-0,1512449; -0,03575171; 0,187618; -1,501194; -0,8068679; -1,279925
-0,08275647; -0,1048079; -0,0006227493; -0,2422511; 1,014784; -1,018599
0,003113694; 0,0343978; 0,03173065; 0,4749648; 0,5035772; -0,9480221
0,03453351; 0,01904089; 0,04921722; 0,8087754; -0,8602776; -1,070101
-0,001106519; -0,04653981; 0,1162794; 1,014784; -1,31426; -0,8087754
-0,08597464; 0,03523553; -0,002730846; 1,016692; -0,6485463; -1,035767
0,009601947; -0,03576288; 0,0758369; 1,350502; -0,6504538; -1,333335
0,05172501; -0,009639487; 0,09567237; 1,577494; -0,9480221; -1,089176
0,004566048; 0,01735506; 0,1748264; 1,138771; -1,24559; -0,9308547
-0,1187812; -0,04423432; 0,1042473; 1,295185; -1,087269; -0,4577974
-0,2678761; 0,02723085; 0,3481784; 1,892229; -0,4921322; -1,579401
0,0001843069; 0,02066289; 0,3316066; 0,9461146; 0,5398194; -1,421079
-0,04339452; 0,004345141; 0,1215231; 0,0705771; 0,05150219; -1,247498
-0,00222457; 0,0278041; 0,2603166; -1,602291; -1,194851; -1,268099
0,04055106; -0,0004445374; 0,2147745; -3,374348; 0,2784934; -0,5455419
0,006401009; -0,05815183; 0,008531332; -2,061996; 0,08583701; 0,1373392
0,08843063; -0,01758768; 0,09990191; -0,803053; -0,2670485; 0,1010969
-0,09899393; 0,00905811; 0,05551219; -0,6638063; 0,1373392; 0,4711498
-0,04613604; -0,02771385; -0,0007829666; -0,3299956; 0,6790661; -0,2842159
0,09328878; 0,007721424; -0,05292559; 0,1945639; 0,3834053; -0,2308062
0,1273755; 0,05424955; -0,01220202; -0,1564141; -1,140679; -0,2670485
-0,06465608; 0,002479613; 0,1176944; -0,2956608; -0,5627093; 0,4005727
-0,1088894; -0,01730656; 0,1494384; 0,05531719; 1,449692; 0,537912
0,004408618; 0,04239336; 0,0549829; 0,6313789; 2,535053; 0,8564627
0,1529414; 0,1377107; 0,06592727; -0,6638062; 0,6790661; 0,4883172
0,01812111; -0,03634065; 0,05741048; -0,8202204; -1,960899; 2,325229
-0,2487413; -0,001489699; 0,2482681; -0,3299956; -2,926088; 1,430617
-0,1983706; 0,09954719; 0,2380354; -1,27611; -2,033384; -0,03814979
-0,01570784; 0,001679853; 0,06070137; -1,119696; 0,3299957; -0,6847886
0,01394263; -0,003548376; 0,01454949; 0,9995243; 0,04959473; -0,8431102
0,05596084; 0,03859336; 0,1686549; 2,11922; -1,436339; -2,348119
-0,03308846; 0,002658159; 0,001962852; 2,557561; -1,657227; -1,799144
0,004211957; -0,01078755; 0,1759369; 3,921798; -0,2136388; -1,560326
0,01452234; 0,07537923; 0,2649996; 2,836437; 0,522652; -0,7534582
0,05780663; 0,1022531; 0,312578; 0,5283745; -0,08965198; -1,560326
0,01880792; 0,03318344; 0,2209189; -0,8030529; -1,577494; -0,616119
-0,1258615; -0,02211732; 0,2430027; 0,2460661; -0,8602776; -0,8793525
-0,02355702; 0,07140309; 0,4160788; -0,4349075; 0,959467; -1,125419
0,07449275; 0,1043358; 0,1171284; -3,395331; 0,6790662; -0,8965199
0,04680922; -0,08238927; -0,229949; -2,378639; -0,1583216; -1,682405
-0,2528396; -0,1021556; -0,08822417; -0,3109207; 0,5760617; -0,8793525
-1,25237; 0,3881063; -1,651297; -15,08252; -8,490234; 11,51361
-0,06010096; 0,3192405; -3,678314; -52,01151; 7,242737; 13,01671
0,2532659; 0,3159475; -9,725963; -72,85654; 63,94476; 22,38057
0,3670607; 0,5377122; -9,695956; -73,03204; 64,10499; 21,94185
0,6019665; 0,8124405; -9,657355; -73,37119; 63,61553; 20,77179
0,8416182; 1,083384; -9,599025; -73,57185; 63,1417; 19,58038
1,055791; 1,336292; -9,527482; -73,69393; 62,54657; 18,58276
1,27638; 1,566293; -9,456882; -73,78358; 61,95334; 17,51456
1,484727; 1,798542; -9,387435; -73,81792; 61,14838; 16,48452
1,694054; 2,014969; -9,309522; -73,44978; 60,11643; 15,46783
1,890526; 2,247115; -9,202279; -72,89088; 58,75067; 14,50455
2,078077; 2,472754; -9,082748; -72,17558; 56,94618; 13,56034
2,269662; 2,685754; -8,965775; -71,26379; 54,91852; 12,66764
2,441482; 2,89686; -8,840929; -70,24901; 52,32624; 11,89701
2,606265; 3,097723; -8,704804; -69,14458; 49,40397; 11,11112
2,759101; 3,292053; -8,573612; -67,83413; 46,26997; 10,44541
2,905235; 3,476763; -8,436586; -66,46837; 42,66481; 9,814032
3,029165; 3,654111; -8,301595; -64,78786; 38,39585; 9,323807
3,137951; 3,827037; -8,173855; -63,0902; 33,56609; 8,906067
3,226876; 3,992476; -8,023527; -61,11214; 28,28043; 8,625666
3,304303; 4,149813; -7,883219; -58,78271; 21,89187; 8,350224
3,375533; 4,306349; -7,750372; -56,2137; 15,08252; 8,120181
