x_1;x_2;x_3;x_4;x_5;x_6;x_7;x_8;x_9;x_10;x_11;x_12;x_13;x_14;x_15;x_16;x_17;x_18;x_19;x_20;x_21;x_22;x_23;x_24;x_25;x_26;x_27;x_28;x_29;x_30;x_31;x_32;x_33;x_34;x_35
-0,001486596;-0,005182134;-0,005638426;-0,006081779;0,001393447;-0,01246529;-0,004139088;-0,004771719;-0,002708305;-0,006587721;-0,01115891;-0,01062893;-0,004053166;-0,005794105;-0,000222864;-0,001947438;-0,002809573;0,00476664;-0,01016677;-0,006464047;-0,008489789;-0,01206272;-0,007227352;-0,007378727;-0,005443849;-0,008429138;-0,002295995;-0,01380933;7,59974E-05;-0,001124831;-0,008058239;-0,01026176;-0,004832966;-0,002233268;-0,000468323
-0,01003845;-0,01045593;-0,01091731;-0,002606995;-0,006875011;-0,003894165;-0,004239064;-0,006518036;-0,00571949;-0,004693896;-0,001676388;0,0041532;-0,001220193;-0,005822495;-0,005578736;-0,00685879;-0,008769149;-0,00637784;-0,006500015;-0,008015247;-0,00484238;0,00101072;-0,001733879;-4,95929E-05;-0,003635744;-0,007316762;-0,00185019;-0,007718744;0,000133952;-0,005394019;-0,005040763;-0,01132862;-0,004327213;-0,002476111;-0,008910757
-0,001073945;-0,002065444;-0,01014323;-0,000982184;-0,000759777;-0,002737926;-0,005079636;-0,008175451;-0,005679997;-0,007086406;0,002053304;-0,009775504;-0,01067442;-0,001200167;-0,01007436;-0,004132499;-0,01280496;0,001301594;-0,006402096;-0,005603304;-0,002990847;-0,006181397;-0,004127931;-0,008347642;-0,007802011;-0,006493755;-0,00856326;-0,000109172;0,001300011;-0,000122514;0,00155431;-0,01042508;-0,003164832;-0,004940471;-0,00751804
-0,003568625;-0,00343954;-0,002328597;0,001174139;-0,005032213;-0,002852842;-0,01211252;-0,000491746;-0,009221125;-0,006916752;-0,003455114;-0,008016534;-0,005779169;-0,003039485;-0,004058551;-0,005387072;-0,009560719;-0,01137314;-0,003515324;-0,001564439;-0,008899778;-0,007854763;-0,005329903;-0,004799748;-0,003770117;-9,09567E-05;-0,008416623;-0,005469952;-0,003438124;-0,006761694;-0,009007774;0,000331022;-0,009584222;-0,008447792;-0,009274598
0,001705404;-0,006046811;-0,003111036;-0,004250493;-0,000881646;-0,003491037;-0,007256411;-0,004227187;-0,007488133;-0,007991632;-0,009990443;-0,00095671;-0,009934327;-0,007452104;-0,006446252;-0,003958968;-0,002969775;-0,006702781;-0,007794328;-0,006994143;-0,00301451;-0,009043861;-0,004070047;-0,00818933;-0,005075246;-0,002021952;-0,006441472;-0,007392673;-7,84211E-05;-0,007907357;-0,01352963;-0,001071561;0,002452878;-0,003646348;-0,006081648
-0,01011651;-0,007080761;-0,006657956;-0,01202694;-0,002232397;-0,004737249;-0,01126434;-0,00371244;-0,003949393;-0,005573748;-0,0149397;-0,008153243;-0,005675191;-0,006822065;-0,006962644;-0,01050615;-0,000548573;-0,002689499;-0,002606891;-0,006396675;-0,003233187;-0,001723414;-0,005869442;-0,007460393;-0,008599173;-0,004985809;-0,004079958;-0,01073448;-0,006038642;-0,008195922;-0,01205013;-0,009418523;-0,007146241;0,000987349;-0,001300281
-0,006619239;-0,003296755;-0,003228972;-0,001286733;-0,002425751;-0,005246583;-0,004591785;-0,0106132;-0,003402664;-0,007321399;-0,01223453;-0,01029097;-0,000520725;-0,00953584;-0,002775945;-0,005026622;-0,008371592;-0,002179295;-0,006861031;-0,00764323;-0,009182073;-0,01117945;-0,006878314;-0,002039114;-0,008126301;-0,004948847;-0,006899966;0,000307202;-0,01231348;-0,004811471;-0,01175249;-0,00165434;-0,00789385;-0,008161234;-0,004887611
-0,009686742;-0,001393482;-0,002125042;-0,001915537;-0,004680216;-0,00522799;-0,01156464;-0,001037596;-0,009025814;-0,00502548;-0,002344269;-0,00539514;-0,001884493;-0,004690336;-0,005950528;-0,005634738;-0,005292237;-0,005286532;-0,006847341;-0,001228293;-0,005039221;-0,01097581;0,001209894;-0,01100626;-0,004202699;-0,001524491;-0,002367128;0,001637248;-0,003851013;-0,003239406;-0,001539668;-0,004741013;-0,005620646;-0,004122896;-0,01149723
-0,01598834;-0,01001897;-0,01326439;-0,006069593;-0,004109437;-0,01444316;-0,005004117;-0,007684384;-0,0119318;-0,005592125;-0,004573081;-0,006680124;-0,01488569;-0,008253694;-0,001587294;-0,00389917;-0,003548032;-0,0030388;-0,009851716;-0,003880383;-0,002854435;-0,000400816;-0,00092346;-0,003212523;-0,007651527;-0,00504954;-0,006740086;-0,004490728;-0,000284093;-0,01031147;0,001845723;-0,01177428;-0,001741663;-0,00650928;-0,01068271
-0,000726569;-0,004595326;-0,008788779;-0,007818982;-0,01079768;-0,002537265;-0,002728088;-0,00369028;-0,007412592;-0,007882452;3,9476E-05;-0,006688666;-0,007470809;-0,008005593;-0,005522737;-0,004040688;-0,007074783;-0,003705855;-0,005100718;-0,000556931;-0,004089732;-0,004077479;-0,004497111;-0,009115197;-0,001215776;-0,01026309;-0,001975378;-0,002540941;-0,001092626;-0,004663148;-0,01148611;-0,004570803;-0,005164283;-0,00897038;-0,003456259
