uaX; uaY; uaZ; gX; gY; gZ
-0,001486596; 0,00413423; 0,1330354; -0,04196476; -0,04005728; -0,003814978
-0,01003845; -0,009110056; 0,1318383; -0,02670485; -0,04005728; -0,003814978
-0,001073945; -0,003770811; 0,1378276; -0,007629957; -0,02288987; -0,003814978
-0,003568625; -0,008834185; 0,1312416; -0,005722467; 0,02861234; 0,01525991
0,001705404; 0,002792272; 0,1360319; 0,007629953; 0,02861234; -0,003814978
-0,01011651; 0,01302403; 0,1300437; 0,08011454; -0,005722467; 0,0534097
-0,006619239; 0,01618246; 0,1294425; 0,007629953; -0,07439207; 0,01525991
-0,009686742; 0,004335117; 0,1360264; 0,01144493; -0,04005728; 0,0343348
-0,01598834; -0,005577265; 0,1330359; 0,01144493; -0,05722467; 0,01525991
-0,0007265687; -0,004367897; 0,1315981; 0,00152599; -0,009155948; -0,007629957
0,002587685; 0,002675956; 0,1330338; 0,183119; -0,04577974; 0,02797651
-0,006311464; -0,003756951; 0,1373444; -0,03967578; 0,004577974; 0,02136388
-0,003311355; 0,002016866; 0,1306386; 0,04577974; -0,005722467; -0,003814978
-0,006515004; 0,01054031; 0,1324313; 0,1316168; -0,09155948; 0,01525991
-0,004830064; 0,006433786; 0,1396136; 0,02670485; -0,04005728; 0,0343348
-0,001406094; 0,005204692; 0,1282361; -0,005722467; -0,005722467; -0,003814978
-0,003937038; 0,003385495; 0,1342218; 0,01144493; -0,02288987; -0,003814978
-0,007610889; -1,409603E-05; 0,1318276; -0,04387225; -0,005722467; -0,003814978
-0,005648479; -0,002328875; 0,1288354; 0,009537444; 0,01144493; -0,02288987
-0,006796975; 0,002003228; 0,1324284; 0,08011454; -0,005722467; -0,003814978
-0,0003094496; 0,009985862; 0,1318276; -0,02479736; -0,005722467; -0,003814978
-0,01555699; 0,004600448; 0,1282372; 0,01144493; 0,01335242; -0,02288987
-0,01237274; 0,01779872; 0,1276386; 0,02861234; -0,05722467; -0,02288987
-0,009269116; 0,001469522; 0,1282375; 0,02861234; -0,04005728; -0,04005728
-0,004643947; -0,009117226; 0,1300335; 0,02861234; -0,05722467; 0,0343348
-0,001901032; -0,01767938; 0,1324279; 0,1144493; -0,04005728; -0,003814978
0,002161575; -0,005937303; 0,1294341; 0,04577974; 0,01144493; 0,01525991
