p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35
0,007697463;0,1867643;0,2189126;0,3119311;0,2861068;0,03928125;0,3240016;0,1349907;0,1041126;0,01527214;0,3345207;0,2989398;0,3356751;0,07475507;0,191826;0,2508091;0,2527195;0,2103266;0,2900113;0,0729749;0,2129809;0,3351118;0,15465;0,100176;0,2762972;0,2459781;0,09464613;0,08433831;0,008758307;0,07111999;0,1811152;0,3435464;0,318763;0,1520575;0,1114214
0,3729374;0,5476161;0,5880078;0,6768531;0,6128451;0,4030102;0,679309;0,5162107;0,4756645;0,3729197;0,766109;0,677822;0,7627444;0,4690247;0,5724404;0,593145;0,6002675;0,5872529;0,6399674;0,4630804;0,6020607;0,7858481;0,5316823;0,4988437;0,6152333;0,5908748;0,4591284;0,4364418;0,3597167;0,4492126;0,6088133;0,6995503;0,6653116;0,5672721;0,4665475
0,7554079;0,9071745;0,9935198;1,0474;0,9530729;0,7430009;1,029975;0,9205499;0,8773168;0,723246;1,172921;1,059262;1,148715;0,8596987;0,9666206;0,9676163;1,030027;0,9745489;0,9714823;0,8174822;1,011543;1,173164;0,9463608;0,8944167;0,9182673;1,005692;0,829143;0,7968192;0,6940629;0,8160561;0,9747015;1,047468;1,002096;0,9124413;0,8392174
1,14369;1,24746;1,387736;1,388189;1,29298;1,108836;1,376016;1,314983;1,304245;1,119223;1,521761;1,407812;1,514404;1,270666;1,314578;1,380183;1,394293;1,370164;1,307436;1,166012;1,364366;1,537549;1,345479;1,270433;1,274781;1,377118;1,193511;1,139521;1,079397;1,20252;1,321589;1,456357;1,327582;1,206212;1,215766
1,489587;1,585239;1,744357;1,795254;1,578468;1,497316;1,782349;1,64359;1,714036;1,480082;1,868992;1,750824;1,871903;1,606994;1,70817;1,73512;1,767931;1,75082;1,651401;1,504805;1,730636;1,899696;1,737481;1,610498;1,639179;1,721726;1,575212;1,465643;1,407599;1,556562;1,681086;1,861671;1,672881;1,614169;1,558974
1,798076;1,93516;2,111598;2,158162;1,847251;1,838196;2,169387;1,963337;2,011012;1,823139;2,192558;2,124148;2,200618;1,932198;2,043799;2,073112;2,0861;2,082957;2,00176;1,855294;2,049014;2,204597;2,05671;1,944764;1,972386;2,053585;1,907888;1,787172;1,715478;1,894167;2,072068;2,184752;2,014996;1,99243;1,864244
2,127839;2,292613;2,447304;2,451632;2,132372;2,148131;2,489786;2,230498;2,330352;2,125585;2,496672;2,499026;2,546721;2,257714;2,336967;2,395732;2,406017;2,398407;2,341053;2,201594;2,385302;2,471743;2,326882;2,276733;2,281228;2,410556;2,256547;2,100914;2,07496;2,21828;2,427383;2,570613;2,37184;2,324127;2,177617
2,460168;2,641372;2,823961;2,751817;2,414163;2,482621;2,799004;2,539969;2,669008;2,422635;2,812775;2,845796;2,863388;2,586604;2,682571;2,714111;2,702102;2,725603;2,671765;2,549585;2,757705;2,763411;2,648096;2,662983;2,561401;2,785349;2,609818;2,400187;2,416563;2,527135;2,760761;2,950727;2,714649;2,708078;2,465191
2,80843;2,939468;3,173018;3,068959;2,69724;2,76408;3,077299;2,827302;2,940207;2,730509;3,112993;3,153297;3,170586;2,930114;3,003376;3,000722;3,001448;3,017335;2,975418;2,862521;3,084155;3,086388;3,014677;3,048414;2,837405;3,099963;2,93721;2,717567;2,70934;2,900396;3,11155;3,266042;3,036435;3,019427;2,750623
3,114534;3,250521;3,479832;3,316979;2,962539;3,080399;3,339568;3,124378;3,254261;3,020811;3,400263;3,455939;3,470331;3,277677;3,302221;3,307327;3,302706;3,330276;3,264355;3,158657;3,410941;3,374908;3,297621;3,314268;3,095272;3,373364;3,251869;3,012833;2,986215;3,248034;3,407538;3,552575;3,352155;3,329979;3,081565
3,41529;3,514502;3,755222;3,585663;3,225383;3,339216;3,625103;3,397789;3,52386;3,312649;3,655046;3,712134;3,722518;3,568448;3,571926;3,582835;3,61762;3,615229;3,535531;3,435764;3,679265;3,656532;3,580128;3,578835;3,342856;3,647007;3,554626;3,272508;3,241409;3,512252;3,684266;3,825898;3,656648;3,597791;3,37997
3,679995;3,75092;4,015896;3,823792;3,443566;3,586393;3,891222;3,614136;3,771969;3,580071;3,876909;3,947129;3,959037;3,80512;3,782495;3,848806;3,849683;3,880295;3,783723;3,703436;3,907967;3,880655;3,793887;3,84972;3,604395;3,88697;3,874182;3,504852;3,47149;3,744228;3,947228;4,112377;3,915506;3,85677;3,594418
3,90764;4,018797;4,233851;4,01299;3,646376;3,805457;4,119633;3,784878;3,984067;3,802795;4,097717;4,151656;4,164016;4,037447;3,975799;4,039314;4,069521;4,112979;4,032016;3,953532;4,123693;4,068836;4,001853;4,075718;3,816407;4,120085;4,108261;3,712173;3,699066;3,978881;4,218568;4,338976;4,136113;4,093058;3,773675
4,163285;4,266552;4,414872;4,181307;3,832072;4,020052;4,323252;3,955275;4,189937;4,010365;4,255929;4,358124;4,349035;4,222883;4,163246;4,243369;4,25707;4,293091;4,275744;4,170724;4,292691;4,199659;4,163577;4,301194;3,979011;4,303185;4,308414;3,925325;3,86855;4,15167;4,437335;4,55095;4,360426;4,315434;3,93836
4,388028;4,455544;4,597539;4,30619;3,98422;4,182718;4,48294;4,088717;4,30893;4,191961;4,40739;4,516178;4,538169;4,461973;4,332876;4,431874;4,42323;4,42439;4,444107;4,392606;4,462636;4,347608;4,345123;4,457025;4,107956;4,470388;4,501083;4,110795;4,054766;4,33149;4,649126;4,753575;4,543267;4,51509;4,081232
4,553882;4,596674;4,732496;4,428006;4,094151;4,338947;4,624223;4,217175;4,45407;4,324527;4,532311;4,684382;4,690019;4,619839;4,475302;4,591655;4,5736;4,569141;4,592341;4,562205;4,617281;4,486386;4,48715;4,638066;4,211675;4,615958;4,655879;4,281961;4,176023;4,49335;4,820053;4,896933;4,709556;4,67556;4,214341
4,694745;4,721632;4,840726;4,532024;4,181435;4,461717;4,714068;4,317904;4,554243;4,470067;4,633294;4,784913;4,786729;4,77375;4,580414;4,70695;4,678444;4,660554;4,720508;4,725261;4,716879;4,602289;4,600746;4,759969;4,290372;4,720341;4,793185;4,396862;4,278489;4,606173;4,984341;5,029357;4,81703;4,783878;4,324017
4,777425;4,791118;4,934638;4,593568;4,257361;4,567026;4,783457;4,395678;4,64635;4,572728;4,696092;4,866327;4,846827;4,857597;4,656678;4,777527;4,753256;4,742857;4,815809;4,828495;4,788386;4,669901;4,666955;4,841414;4,347668;4,78753;4,888863;4,501296;4,37115;4,695884;5,081707;5,085829;4,891203;4,879911;4,367484
