uaX; uaY; uaZ; gX; gY; gZ
-0,002860724; 0,04280645; 0,1738183; -0,4296252; -1,107518; -0,4137784
-0,0008687691; 0,04787134; 0,1718098; 0,008078778; 0,2930801; -0,4227894
0,003032759; 0,04469991; 0,1763806; 0,09537446; 0,4056593; -0,4120177
-0,002305176; 0,05383426; 0,1680524; 0,3853128; 1,430617; -0,3662379
-0,0110442; 0,04929543; 0,1702819; 0,1907489; 0,869815; -0,4005727
-0,001082815; 0,04150259; 0,1780915; -0,1201718; 0,1201718; -0,3834053
-0,004312119; 0,03399467; 0,1687311; 0,02899383; 0,2899383; -0,4074397
-0,001456652; 0,04856825; 0,1631992; 0,0171674; 0,5398194; -0,4349075
0,002683647; 0,04971462; 0,1699569; 0,06866961; 0,4196476; -0,4005727
-0,005086562; 0,04636663; 0,175609; 0,1039582; 0,6266102; -0,3662379
-0,01687654; 0,0355773; 0,1652167; 0,3166432; 1,224608; -0,1735815
-0,0032502; 0,04402089; 0,1625464; 0,1926564; 0,6275639; -0,08583701
-0,002920371; 0,04595226; 0,1722536; 0,05150221; 0,3624229; -0,2804009
-0,01000725; 0,05028486; 0,1550088; -0,06866961; 0,03051982; -0,3662379
-0,009786375; 0,044999; 0,173522; -0,1545066; -0,444445; -0,3834053
0,003774222; 0,04571593; 0,1590896; -0,1373392; -0,2479736; -0,4005727
0,0002837256; 0,04456758; 0,1662512; -0,06866961; 0,1030044; -0,4349075
-0,0002135709; 0,04432029; 0,1627162; -0,0343348; 0,08392952; -0,4349075
-0,008257639; 0,04817015; 0,1602421; -0,2804009; -0,5283745; -0,4349075
-0,005712289; 0,04581118; 0,1684272; -0,2441586; -0,5627093; -0,4177401
0,0008450784; 0,03891635; 0,1563568; -0,171674; -0,3013833; -0,4177401
0,005757838; 0,04813606; 0,1694345; -0,1373392; -0,3387701; -0,4211736
-0,002684128; 0,04281421; 0,1662809; 0,001907489; 0,03242732; -0,4349075
-0,00902481; 0,03955454; 0,1622832; -0,0171674; 0,2746784; -0,4349075
-0,0204252; 0,04417568; 0,1617515; -0,0171674; 0,1354317; -0,4349075
-0,005676344; 0,0413444; 0,1641047; -0,1735815; -0,3166432; -0,4005727
0,005593713; 0,04209214; 0,1658356; -0,0343348; -0,1258943; -0,4005727
0,002984438; 0,03498042; 0,1478367; -0,1220793; -0,2155463; -0,4005727
-0,00680168; 0,04816592; 0,1620219; -0,350978; -0,6332864; -0,4005727
-0,006950028; 0,04846358; 0,1583307; -0,1201718; -0,1087269; -0,3662379
-0,01059527; 0,04512036; 0,1476579; -0,0171674; 0,3490705; -0,4177401
-0,008995492; 0,03816599; 0,1565838; -0,3147357; -0,4577974; -0,4520749
0,004293758; 0,04409456; 0,1634467; -0,350978; -0,8106829; -0,4005727
0,01143556; 0,04141498; 0,1639316; -0,06866961; -0,03814978; -0,4520749
-0,009401195; 0,0428015; 0,1532764; 0,1392467; 0,6599913; -0,4349075
-0,01118082; 0,04745114; 0,1498771; -0,05150221; -0,02098238; -0,4177401
-0,006327998; 0,03585047; 0,1467581; -0,2956608; -0,791608; -0,4349075
0,003830157; 0,03104454; 0,1601961; -0,3338106; -0,7553657; -0,4177401
0,004815125; 0,04100432; 0,1580482; -0,1510731; -0,07324758; -0,3937058
-0,006909829; 0,04580969; 0,1505151; 0,1239868; 0,7134009; -0,4177401
-0,00653512; 0,04440784; 0,1441579; 0,0171674; 0,4845022; -0,4177401
-0,0009676032; 0,03527027; 0,1525939; 0; 0,2594185; -0,3834053
0,001110524; 0,04412687; 0,156996; 0,2460661; 1,083454; -0,4177401
-0,007360157; 0,04232919; 0,1501613; 0,2460661; 0,959467; -0,4349075
-0,004853196; 0,03797793; 0,1569631; 0,1030044; 0,4539824; -0,4177401
-0,006067358; 0,04995173; 0,149955; 0,001907491; 0,6256564; -0,4005727
0,001746941; 0,04167658; 0,1543016; 0,08583701; 0,6428239; -0,4349075
-0,006953288; 0,04096228; 0,1461296; 0,0877445; 0,5913216; -0,4177401
0,002075993; 0,04085159; 0,1473529; -0,08583701; -0,1430617; -0,4349075
0,01024605; 0,0375737; 0,1558082; 0,1583216; 0,7668106; -0,4177401
-0,01161733; 0,03982586; 0,1388416; 0,3166432; 1,115881; -0,4177401
-0,006217819; 0,03909433; 0,1468344; 0,0343348; 0,3299956; -0,4005727
-0,0011243; 0,0433504; 0,1428013; 0,1220793; 0,6428239; -0,4349075
0,001613338; 0,03498989; 0,151336; 0,0343348; 0,1373392; -0,4177401
-0,005613551; 0,04127884; 0,1490219; 0,0705771; 0,4005727; -0,3662379
-0,00847159; 0,03750372; 0,14137; 0; 0,2914643; -0,4211736
-0,01115712; 0,04622036; 0,1341958; -0,2269912; -0,1621366; -0,4177401
0,005520906; 0,0376963; 0,1496277; -0,2250837; -0,4425375; -0,4005727
0,003996987; 0,03774697; 0,1452365; -0,2250837; -0,4425375; -0,4520749
-0,001264602; 0,03518844; 0,1540935; -0,1373392; -0,1106344; -0,4177401
-0,00257425; 0,04152018; 0,1360354; -0,171674; -0,2308062; -0,4349075
-0,007465351; 0,04860681; 0,1468167; -0,1545066; -0,1964714; -0,4349075
-0,001364198; 0,03877693; 0,1335235; -0,3166432; -0,616119; -0,4177401
0,005138379; 0,03491706; 0,1434321; -0,3681454; -0,616119; -0,4177401
0,002352852; 0,03816867; 0,1563594; -0,1926564; -0,4597049; -0,4177401
0,0008338392; 0,03396696; 0,1269991; -0,0343348; -0,03624229; -0,4177401
0,002364922; 0,04829013; 0,1509531; -0,1373392; 0,01525991; -0,4177401
-0,004568271; 0,04351085; 0,1317673; -0,2079163; -0,4234626; -0,4177401
-0,002060603; 0,03781164; 0,130301; -0,5054846; -1,052934; -0,4177401
0,0005887635; 0,04006851; 0,1485455; -0,3319031; -0,7038635; -0,4177401
0,00497824; 0,03603178; 0,1455078; 0,0705771; 0,3986652; -0,4349075
-0,01291581; 0,04420114; 0,1312182; 0,1144493; 0,5997146; -0,4074397
-0,004766237; 0,04263109; 0,1428313; -0,2804009; -0,5627093; -0,4177401
0,00117394; 0,03197449; 0,1366394; -0,2098238; -0,2308062; -0,4005727
-0,006770011; 0,04723281; 0,156492; 0,1239868; 0,6771587; -0,4177401
-0,001928408; 0,04204929; 0,1459944; 0,1049119; 0,6809736; -0,4349075
-0,009019978; 0,04709947; 0,1412964; -0,08583701; -0,08965199; -0,4177401
-0,001180578; 0,04291624; 0,1454575; -0,1545066; -0,3338106; -0,4005727
-0,0001639277; 0,03411615; 0,1430032; -0,06866961; 0,01335242; -0,3834053
-0,01502463; 0,03763121; 0,1346402; -0,0705771; -0,1945639; -0,4349075
-0,03470536; 0,04061407; 0,1149414; -1,327613; -3,853128; -0,4520749
-0,1183699; -0,3005043; 0,1163049; -5,073921; -14,68766; -0,5588943
-0,5090312; -0,8011183; 0,1176445; -11,39153; -32,38153; -3,200767
-0,001647107; -1,040195; 0,1892493; -5,073921; -14,51218; -9,869349
0,2872934; -0,7547078; 0,1202741; 9,233201; 26,70294; -5,355276
-0,01517664; -0,6626859; 0,07200491; -5,897956; -16,71628; -2,475921
-0,09912082; -0,5818928; 0,1338437; -3,17864; -8,864484; -3,865336
0,08086064; -0,5135161; 0,1514307; 9,381032; 27,77304; -5,337154
0,09391169; -0,5666386; -0,009720087; 4,427282; 12,84312; -3,622322
0,01263449; -0,5633693; 0,03050089; -4,602771; -13,30474; -0,6294714
-0,07680596; -0,4561886; 0,05552864; -7,629957; -21,68624; -0,526467
-0,0870811; -0,4848605; 0,150806; 0,2994757; 0,9747267; -2,397714
-0,002443809; -0,3861938; 0,192914; 8,051512; 22,78305; -4,478785
0,01607501; -0,4469862; -0,1292858; 2,275635; 7,45256; -4,532194
-0,02204963; -0,3704003; 0,2949443; -5,476401; -16,48643; -4,795428
-0,03934174; -0,465827; 0,008304358; -3,954225; -10,0849; -4,864098
0,07816859; -0,4241966; -0,01580024; 4,373873; 11,04055; -6,000961
0,0955947; -0,3437766; 0,03725219; 6,178358; 16,97093; -5,600388
0,01066289; -0,3027202; 0,2167196; 2,189797; 6,157375; -5,407732
0,02056341; -0,3507399; -0,06011271; -4,215551; -12,3777; -5,319987
-0,002313934; -0,2912818; 0,04495072; -8,051512; -22,45878; -4,671441
-0,02933681; -0,2759371; 0,2184063; 1,69385; 5,147169; -5,615648
0,06824491; -0,2427078; -0,01480627; 6,458758; 19,33431; -5,619463
0,02795948; -0,2697179; 0,08603191; 1,209348; 1,503102; -4,165956
-0,02377196; -0,190424; 0,02913237; -4,059137; -10,97569; -2,939441
0,0388446; -0,1332572; 0,01151538; -1,804485; -6,340494; -3,673824
0,03486549; -0,09341404; 0,1020505; 0,2460661; 0,2250837; -3,219842
-0,0003324226; -0,06698111; -0,0361824; 1,857895; 6,348124; -3,010018
0,05055175; -0,08362854; 0,237886; 2,363379; 9,499296; -2,924181
0,04904382; -0,1819718; 0,0599103; 1,295185; 3,706251; -2,361471
0,01298827; -0,1411415; 0,04331779; -0,8907974; -4,499767; -2,027661
0,02347114; -0,04359764; -0,04900646; -3,917983; -11,78256; -1,697665
-0,006567128; -0,1150889; 0,1936007; -2,59037; -8,473067; -1,32952
0,05826921; -0,03424004; -0,07246375; 2,746784; 8,799248; -1,134956
0,02880143; -0,1314414; 0,2103751; 3,307586; 10,02386; 0,2460661
0,006336521; -0,1167417; -0,1956019; -1,293278; -3,206489; 1,505009
0,02845979; -0,1212227; 0,1934695; -4,463524; -11,16835; 2,277542
0,007603932; -0,01178083; -0,102917; -0,7675737; -1,851027; 3,412117
-0,01658563; -0,0461992; 0,346273; 4,007635; 11,39153; 2,870771
0,002572755; -0,044735; -0,27036; 3,057069; 8,888899; 2,736611
-0,01882424; 0,01471007; 0,1795759; -2,673537; -4,426901; 3,022989
0,01538299; -0,0336563; -0,1178691; -4,866005; -13,86172; 3,343828
-0,03614369; -0,03624889; 0,1028066; -1,749168; -3,172155; 3,797811
-0,01476514; -0,03850207; 0,3172982; 1,663331; 6,908926; 4,061045
-0,0346084; 0,08148062; 0,0520246; 2,802102; 7,645216; 4,234626
0,0292468; 0,06425408; -0,1872625; 0,5588943; 1,674775; 4,234626
0,03763987; 0,02738935; 0,4745867; -0,5417269; 1,34478; 5,110163
0,1597708; -0,2836757; 0,4611928; -15,4869; -36,91373; 7,420132
-0,07311541; -0,1719193; -0,5958672; 3,992375; 22,8727; 8,015269
0,05940858; -0,1544937; -0,07848978; 18,53507; 44,99195; 8,225093
0,1266087; -0,2161779; -0,4484658; 1,85408; -2,664762; 11,58609
0,01116535; -0,02035651; 0,4484093; -14,75252; -44,96334; 13,51265
-0,04337836; -0,216604; -0,08479428; -5,442066; -18,79831; 14,00097
0,004151855; 0,1002101; 0,1776068; 11,76158; 26,1078; 13,28375
-0,04030522; -0,03750461; 0,05153847; -3,442636; -22,88071; 14,79601
0,004260354; 0,01068346; 0,08598957; 13,1426; 28,59517; 13,73774
0,009855198; -0,1052549; 0,1493435; 7,736776; 19,4583; 14,85743
0,02612174; -0,1695173; -0,2260793; -0,2784934; 4,249886; 15,69864
0,02145696; -0,2523515; 0,08551693; -5,949459; -19,65858; 16,20603
0,03288545; -0,2451158; 0,1728923; -6,634247; -15,98094; 17,43064
-0,001834689; -0,165588; -0,1749291; 1,102529; 3,93515; 17,87127
0,06713521; -0,191828; 0,3630917; 5,180741; 18,0067; 18,57132
0,02486308; -0,2055789; 0,1451778; 1,434432; 11,21604; 19,77685
0,01590478; -0,1807181; -0,1550691; -3,324754; -12,06296; 21,02053
0,0537222; -0,147783; 0,007520199; -6,929908; -14,35576; 22,47213
-0,01854256; -0,1837029; 0,163491; 0,9098723; 0,03242738; 22,36722
-0,008571047; -0,08557305; -0,1571424; 3,500243; 10,98523; 22,92611
-0,05884689; 0,06400028; 0,08611751; 2,449216; 6,805921; 22,26421
-0,07600486; -0,02845606; 0,079252; -0,05150223; -0,2136388; 21,66526
-0,09768552; -0,05541044; 0,1359987; -1,083454; -4,589419; 20,68672
-0,05911075; -0,07547369; -0,07367802; -3,14812; -9,340592; 19,55711
-0,0620969; -0,04480004; 0,01093769; -0,3853128; -7,425856; 18,84981
-0,02560507; -0,1137788; 0,07187486; 3,256084; 9,762529; 17,97236
-0,01560476; -0,1034188; 0,260391; 3,956132; 15,7654; 18,43016
5,81561; 8,472887; -1,955214; -16,88891; -5,342877; 6,651415
1,297477; 3,704725; 3,734489; -12,94994; -55,32482; -156,0746
1,512512; -2,645428; -1,738092; 19,79401; 71,31339; -129,9115
0,5250391; -2,531469; 1,246918; 14,12496; 37,37916; -95,46793
-0,2297145; -1,847968; -0,4457294; -1,712925; -13,48022; -76,04397
-0,2119054; -0,5439029; 0,3683686; -13,66716; -41,92089; -66,26045
0,1810555; -0,5088482; -0,1822963; -5,913217; -18,9757; -54,84985
0,3325713; -0,2290936; 0,009081602; 9,102538; 26,19746; -42,68579
