uaX; uaY; uaZ; gX; gY; gZ
0,02782756; 0,03328777; 0,1224287; 0,0343348; 0,2346212; 0,0343348
0,05356681; 0,01670231; 0,1127505; 0,1030044; -0,009537445; -0,0171674
0,03454083; 0,009580268; 0,1119549; 0,1735815; -0,06294715; 0,1373392
-0,01271856; -0,01616232; 0,139689; 0,3319031; -0,2384361; -0,1239868
-0,03232169; -0,02752329; 0,1310785; -0,2533146; -0,009155947; -0,1556511
-0,1164806; 0,01063366; 0,09023619; 0,1856623; -0,08647284; -0,4450808
-0,05831683; 0,02313319; 0,1439352; 0,787793; -0,257511; -1,104436
-0,008583307; 0,01329632; 0,1059744; 0,2639965; 0,007629957; -0,7996194
-0,0468111; -0,02026003; 0,1077433; 0,8927049; -0,04387225; -1,211256
-0,07575577; -0,03865256; 0,1223288; 1,312353; -0,009537445; -1,402004
-0,0490827; -0,02298356; 0,1900432; 1,257035; -0,1163568; -0,7553657
-0,02672756; 0,01803026; 0,1713784; 0,1926564; 0,09346696; -0,2117313
-0,01972318; 0,04724695; 0,1568301; -0,9117798; 0,04196476; 0,537912
-0,05684769; 0,02853579; 0,1372175; -1,27611; 0,1106344; 0,4692424
-0,03854418; -0,02758104; 0,1404538; -1,27611; 0,2327137; -0,1068194
-0,005943358; 0,004956522; 0,08725238; -0,806868; 0,2517886; -0,1621366
0,01562536; 0,06203578; 0,09056807; -0,0877445; 0,07629956; -0,6504539
-0,03495306; 0,002490547; 0,09169078; 0,3853128; 0,07629956; -1,455414
-0,07008421; -0,06583506; 0,1069806; 0,9270398; 0,04196476; -1,960899
-0,07106531; -0,05373531; 0,1508722; 1,39819; -0,2041013; -1,909397
-0,03992629; 0,003050867; 0,1692848; 0,9098723; -0,3090132; -1,821652
-0,004381835; 0,04918789; 0,1371799; 0,1907489; -0,09918944; -1,402004
-0,004964769; 0,06718452; 0,1339025; 0,0877445; 0,1106344; -1,035767
0,008319318; 0,04497401; 0,1055019; -0,03624229; 0,04196476; -0,877445
