uaX; uaY; uaZ; gX; gY; gZ
0,1188236; 0,0637991; 0,05860329; -2,042921; -0,5512644; -0,9537446
-0,0261382; -0,1298354; 0,08912606; -3,347855; -0,1356437; -1,325917
0,03059399; -0,1144447; 0,02378929; -4,913692; 0,3433481; -2,880309
0,07160568; 0,05326768; -0,09939003; -3,898908; -0,2193612; -2,580833
0,1508795; 0,153829; 0,005284667; -2,094423; 0,1335242; -1,461137
0,05578876; 0,1059769; 0,04962873; -1,184551; -0,268956; -0,5169296
0,04377329; 0,01695337; -0,009909391; -1,218886; -0,5665243; -0,1144493
-0,02302337; 0,03732752; 0,02142155; -0,3271344; -0,2775397; -0,03528855
0,05387759; -0,06055669; 0,005989671; 1,562234; -0,1468767; 0,09728195
0,01498246; -0,07126779; -0,01486433; 3,101577; -0,09728195; -0,1659516
0,01683891; -0,0643837; -0,01993692; 3,521225; -0,2174538; -0,3757754
0,03525758; -0,0761111; 0,003108144; 4,555084; -0,08011454; 0,08011454
-0,005289435; 0,01322526; 0,09976649; 4,85456; 0,167859; 0,6542688
-0,02859998; 0,01646505; 0,163847; 2,699097; 0,02861234; 0,3757754
0,1112496; -0,04475803; 0,01926832; 0,6695287; -0,04196476; 0,3929428
0,08140373; -0,0004559755; 0,07922681; 0,5989516; -0,183119; 1,022414
-0,005640745; 0,05521035; 0,08677626; -0,2556036; 0,09537446; 1,073916
0,02027721; 0,01617661; 0,05184784; -1,521413; 0,4761093; 0,8545551
0,003008604; -0,07014723; 0,0696032; -2,216502; 0,4845023; 0,09537446
-0,0270133; -0,05405113; 0,0458231; -2,935626; 0,2899383; -1,216978
-0,0255686; 0,03599961; 0,0614121; -2,794472; 0,2384361; -1,949454
0,006541133; 0,06238658; 0,03932476; -3,14545; 0,009537447; -1,915119
0,08206308; 0,04119147; -0,06644678; -2,813546; -0,1812115; -1,236053
0,08321571; 0,03368152; -0,04166341; -0,7649031; 0,04577974; -0,2193612
0,09347284; 0,01780711; -0,001690269; 0,9327622; 0,2365286; 1,005247
0,1118481; -0,01104405; 0,05660641; 1,615643; 0,433; 2,037199
0,01981771; -0,05262562; 0,07037425; 0,8793525; 0,3776828; 2,790657
-0,04350412; -0,1156767; 0,05424905; 0,1983789; 0,2365286; 2,861234
-0,1216671; -0,1209487; -0,02801299; 0,8965199; 0,4673348; 2,26419
-0,5803181; 0,04075524; -0,1037863; 4,186939; -0,2536961; 0,07820705
-0,2629197; -0,2424344; -0,2537919; 17,64618; 5,941829; 4,646644
-4,372242; 1,425669; 4,320909; 7,198864; 33,69961; 13,93993
-5,392146; 0,4543417; -1,894703; -46,84603; -12,39677; 8,059142
-5,284127; 0,5987473; 0,6008447; -57,5375; 13,28681; 7,897005
-5,224492; 0,7653706; 2,005769; -64,74972; 3,370533; 7,37626
-5,194344; 0,7080173; -1,798601; -56,50364; 3,177877; 5,398194
-4,907624; 0,6715134; 0,3468726; -30,51792; 7,238922; 3,717696
-4,898592; 0,6903697; -1,408782; 1,773965; 22,06202; 1,829282
-4,744727; 0,6719438; -0,3380587; 29,37152; 35,99241; -0,6218414
-4,418974; 0,6583455; 1,360544; 48,32624; 33,36771; -2,98522
-4,16818; 0,5651133; 1,15504; 46,64574; 36,97477; -3,841683
-3,787673; 0,4778037; 2,04876; 32,2957; 38,79261; -3,353366
-3,501404; 0,4507112; 1,912745; 14,56559; 38,37296; -2,124943
-3,215282; 0,4136999; 1,98031; -3,897; 38,32146; -0,3433481
-2,968529; 0,3944656; 1,975305; -16,79735; 39,12451; 0,8660001
-2,719081; 0,3701328; 1,485102; -14,43397; 40,24611; -0,06294715
-2,42952; 0,3247326; 1,070175; 1,213163; 46,35389; -2,721987
-2,084591; 0,2912235; 1,521847; 20,11447; 50,57135; -5,573683
-1,664245; 0,266336; 2,406568; 28,9347; 53,68628; -7,132102
-1,329853; 0,1896947; 2,547599; 29,44019; 55,21037; -7,412503
-0,8654774; 0,1242846; 3,16745; 22,82692; 55,85509; -6,500723
-0,4958838; 0,1010507; 3,098984; 10,01661; 55,27598; -4,661903
-0,1695572; 0,06208263; 2,926204; 4,574159; 56,15458; -4,751555
0,1807876; 0,02801629; 2,814619; 6,672397; 56,66196; -5,995238
0,5345731; -0,01517856; 2,777235; 12,13354; 57,71299; -7,570824
0,8921338; -0,05538534; 2,878479; 18,47022; 60,19845; -9,180745
1,284132; -0,09570498; 3,170565; 20,56845; 60,0573; -10,35385
1,6698; -0,1434896; 3,252549; 17,40202; 59,58424; -10,75252
