uaX; uaY; uaZ; gX; gY; gZ
-0,2470491; 0,07348631; -0,02455906; 2,416789; -1,506916; 3,187414
-0,1099944; 0,2929332; 0,07693052; 1,258943; -1,384837; 2,136388
-0,1968999; 0,3649488; 0,1803232; -0,3662379; 0,04959472; -0,5779692
0,02697062; 0,1184059; -0,05506119; -1,381022; 1,430617; -1,592754
-0,274848; -0,00283719; -0,05267076; -0,9079648; 1,081546; -0,7362908
-0,2838306; -0,0754516; -0,1568379; 0,5436344; 0,2765859; -1,697665
-0,3394401; 0,06821139; 0,06197361; 0,9098723; -0,9136873; -2,973776
-0,1363022; -0,0790674; 0,1213938; -0,9442071; -0,8946124; -3,341921
-0,1343458; -0,2379483; 0,0524782; -1,381022; 0,4864098; -2,100146
-0,3660438; -0,19141; -0,1410338; -0,8583701; 1,2227; -1,173106
-0,04994702; -0,1000854; -0,1111406; 1,102529; 0,7496432; -0,3681454
0,06084394; 0,01439218; 0,1345929; 0,5417269; 0,2937533; 0,3853128
-0,1241596; -0,1801373; -0,03559107; -1,26085; -0,4062952; 2,311877
-0,3253479; -0,1403519; -0,04258558; -1,646163; -0,7725331; 2,153555
-0,05409551; -0,1163372; 0,002876535; 0,2288987; -0,003814982; -0,6485463
0,1628937; -0,1715395; -0,06533063; 2,015834; 1,045304; 0,8515031
-0,03319907; 0,008433714; 0,04976918; 1,524084; 0,3109207; 4,780168
-0,2260993; 0,138655; -0,01597435; -0,4902247; -0,1773965; 3,484983
-0,3836401; -0,03554319; -0,198301; 1,121604; -0,8259428; 0,4387225
-0,1303091; 0,07497165; 0,1677476; 2,189797; -0,616119; -1,924657
0,2301738; 0,2581285; 0,04937902; 1,32952; 0,1697665; -1,171198
-0,1441381; 0,3700513; 0,107988; -1,363855; 0,3128282; -0,6638063
-0,1747468; 0,1682935; -0,1322359; -2,151648; -0,265141; -1,712925
-0,3190041; -0,04041175; -0,1072807; 0,1068194; -0,4062952; -3,498335
-0,4008908; -0,2039728; -0,1396298; 2,731524; -0,3357181; -6,405348
-0,2342784; -0,2163042; 0,009921551; 3,938965; -0,5283745; -8,417749
0,06700611; -0,217231; 0,1058117; 3,257992; -0,2842159; -6,229859
0,007168293; 0,09387526; 0,1531911; 1,419172; -0,09155948; -1,573679
-0,1358867; 0,03867381; -0,02520226; -2,170723; -0,07439207; 1,541251
-0,2909756; -0,044879; -0,1003102; -2,185983; -0,5817842; 2,889846
-0,04969692; -0,1330486; -0,06336773; 0,5245596; -0,08965199; 0,4558899
-0,1065733; -0,08490238; 0,07288344; 1,791514; 0,5707208; -0,4639014
-0,1825998; -0,01493778; 0,080297; -0,9117798; 0,1697665; 0,8946124
-0,07124567; -0,1376396; -0,1749061; -2,449216; -0,7210309; 2,748692
-0,1610718; 0,05865194; 0,003751963; -0,3490705; -0,8259428; 2,048643
