uaX; uaY; uaZ; gX; gY; gZ
-0,134763; -0,01834363; 0,06603074; 0,3166432; -0,4062952; 0,2804009
-0,2024374; -0,01276819; 0,0799737; 0,2098238; -0,4787798; 0,3853128
-0,09313035; 0,05038131; 0,1150455; -0,2441586; -0,4062952; -0,1049119
-0,1044686; 0,09089878; 0,09396243; -0,3338106; 0,171674; -0,2460661
-0,1568794; 0,0524754; 0,04197299; -0,3490705; 0,2060088; -0,2975683
-0,1990335; 0,04732914; 0,05106366; 0,1583216; 0,2918458; -0,5054846
-0,2767224; 0,04397814; 0,04353428; 0,4902247; 0,2403436; -0,7000485
-0,2896154; -0,01659094; 0,06186843; 1,051027; -0,3185507; -0,8717225
-0,1324925; 0,008980416; 0,127085; 0,8698151; -0,5783507; -0,7431577
-0,07068229; 0,0250675; 0,139675; -0,06866961; -0,5417269; -0,1805756
-0,08859658; 0,0302896; 0,038818; -0,1926564; 0,03242731; -0,2804009
-0,07704697; -0,03556232; 0,09678421; 0,4623754; 0,2777304; -0,6073446
-0,1070387; -0,0765565; 0,04522669; 0,1049119; 0,5569868; -0,3662379
-0,2183301; -0,1398369; 0,06592739; 0,4711498; 0,2918458; 0,3338106
-0,2294559; -0,02556225; 0,1173064; 0,2632335; -0,1602291; 0,612304
-0,2497849; 0,07631283; 0,1140847; -0,5588943; -0,1621366; 0,1411542
-0,2789273; 0,03133795; 0,02219784; -0,4196476; -0,2498811; -0,7000485
-0,2890835; -0,009988487; 0,01832092; 0,3147357; -0,2327137; -1,241775
-0,2964339; 0,02183677; 0,02893806; 1,138771; -0,2823084; -1,958991
-0,1784108; 0,0983737; 0,0749675; 1,907489; -0,3185507; -2,554128
0,02552152; 0,2033417; 0,2130765; 1,068194; -0,3185507; -0,9270398
-0,06542683; 0,1890621; 0,1444647; -1,327613; 0,01525992; 0,5436344
0,0294714; -0,09907757; 0,03732872; -1,312353; 0,2956608; 0,01907489
0,1078615; -0,3028231; 0,06623709; -0,08583701; 0,8888899; 0,4902247
-0,0515697; -0,1883021; 0,1047109; -0,05646168; 0,6683842; 1,620603
-0,1722755; -0,02751958; 0,08159332; -0,5588943; 0,2746784; 2,977591
-0,2732852; 0,05254038; 0,06171195; -1,096171; 0,04577974; 3,903995
-0,3177338; 0,05046005; 0,01930857; -1,091084; -0,2273727; 3,035197
-0,2338402; 0,01793555; 0,0149292; 0,1220793; -0,4234626; 1,155938
-0,09367681; -0,04928188; 0,09416318; 0,3853128; -0,4425375; 0,9117798
-0,09601331; 0,02864019; 0,1451471; -0,4349075; -0,3891278; 1,051027
-0,1000061; 0,1215093; 0,1139586; -1,627088; -0,616119; 0,4902247
-0,0939877; 0,07811479; 0,007645249; -1,539344; -0,7572731; -0,5779692
1,622322; 0,3286296; -0,08707738; -0,7172159; -1,089176; -0,06866962
2,708395; -0,2416537; 2,594489; 3,851221; 9,043406; 2,346212
6,591897; -0,444294; 1,31539; 6,388181; 4,040061; -7,191234
8,369271; -0,319944; -1,656814; 7,08823; -0,825943; -8,854565
8,153181; -0,2629726; -2,295489; 4,934674; 18,49501; -9,117799
7,725259; -0,2699316; 3,128744; -4,165956; -75,64339; -9,083463
7,618326; -0,3244956; 3,184827; -2,136388; -5,394379; -9,220802
7,777588; -0,2366651; 0,2085816; -1,855987; -33,72822; -9,083463
7,406253; -0,1708075; 1,260446; -4,773301; -37,10448; -9,593907
7,007357; -0,2272412; 3,33873; -3,151172; -43,21226; -9,361957
7,049459; -0,1635776; 1,199838; 3,589895; -43,23133; -8,837398
6,628113; -0,1414714; 3,002328; 7,492617; -53,9953; -8,698151
6,08019; -0,1022252; 3,762808; 5,356229; -57,81027; -9,346697
5,716549; -0,1073706; 2,804808; 3,746309; -60,39874; -10,14975
5,142276; -0,1049374; 3,869233; 5,793045; -66,51033; -10,42824
4,627865; -0,05744348; 4,553344; 5,566053; -69,27237; -11,05962
4,140224; -0,02978211; 4,682834; 1,419172; -73,68439; -12,2499
3,530979; -0,03281655; 5,411125; -1,67859; -76,79933; -13,08919
3,047478; -0,02137958; 5,353677; 0,1564141; -77,91902; -13,31427
2,432856; 0,07362237; 5,923429; 4,83167; -82,48936; -13,59658
1,690135; 0,1119435; 6,655073; 2,468291; -86,37302; -15,10159
1,055982; 0,07550006; 6,782694; 1,400097; -88,07069; -15,7158
0,4041142; 0,1024649; 6,832052; 6,510261; -90,55614; -14,69911
-0,3995785; 0,1734456; 7,343345; 10,25466; -93,77599; -14,49119
-1,116579; 0,1864887; 7,584013; 11,11494; -92,09357; -14,76969
-1,805354; 0,2251177; 7,525576; 12,47879; -93,61765; -14,5427
-2,679141; 0,3061343; 7,92515; 10,60564; -96,01347; -14,99668
-3,389346; 0,2419762; 7,465033; 10,71093; -95,21117; -14,52286
-4,181364; 0,2632359; 7,332979; 16,99382; -94,98151; -11,88175
-4,855777; 0,2813715; 7,267527; 19,25229; -94,85944; -10,46449
-5,414325; 0,2779447; 6,815473; 21,24752; -95,50798; -8,732485
-6,177841; 0,2520781; 6,80598; 21,17694; -95,24474; -7,786371
-6,77673; 0,2187068; 6,392877; 18,84981; -91,14937; -8,03053
-7,098663; 0,1268867; 5,652644; 18,01051; -89,57569; -7,418226
-7,524127; 0,08775549; 5,218981; 20,14309; -87,05589; -5,056754
-7,852183; 0,04623825; 4,572538; 21,29902; -84,51703; -3,149265
-8,255087; -0,01850276; 4,138568; 22,15739; -82,12122; -1,558419
-8,457922; -0,0911518; 3,368831; 22,26421; -78,39017; -0,5073922
-8,639301; -0,1859119; 2,760706; 22,33288; -74,96241; 0,6485463
-8,688852; -0,2726568; 2,065195; 23,40108; -70,67247; 2,258467
-8,772936; -0,3462631; 1,47076; 23,69674; -67,36489; 3,360996
-8,753058; -0,4338333; 0,7256403; 23,15692; -62,92273; 3,734101
-8,692967; -0,5404925; 0,03293061; 21,61567; -58,63431; 3,376256
-8,477384; -0,6298954; -0,6238582; 21,09683; -54,23628; 3,601339
-8,21736; -0,7129533; -1,28383; 21,47833; -50,60187; 4,422323
-7,952331; -0,7809458; -1,777206; 22,14023; -45,53939; 5,392472
-7,490211; -0,8553126; -2,379373; 22,50646; -40,53605; 5,934199
-6,693583; -0,9076333; -2,918313; 22,94328; -36,84315; 6,493093
